Topic,Subject,Title,District.03.Value,Relevant.Proportion,Proportion.TOT.Civilian
Business,Paid employees for pay period including March 12,Total for all sectors,343261,1,0.41880199
Business,Paid employees for pay period including March 12,"Agriculture, Forestry, Fishing and Hunting",10,2.91324E-05,1.22007E-05
Business,Paid employees for pay period including March 12,"Mining, Quarrying, and Oil and Gas Extraction",613,0.001785813,0.000747902
Business,Paid employees for pay period including March 12,Utilities,521,0.001517795,0.000635656
Business,Paid employees for pay period including March 12,Construction,14168,0.041274715,0.017285933
Business,Paid employees for pay period including March 12,Manufacturing,16589,0.048327657,0.020239719
Business,Paid employees for pay period including March 12,Wholesale Trade,15910,0.046349571,0.019411292
Business,Paid employees for pay period including March 12,Retail Trade,45771,0.133341685,0.055843763
Business,Paid employees for pay period including March 12,Transportation and Warehousing,2166,0.006310067,0.002642669
Business,Paid employees for pay period including March 12,Information,12821,0.037350587,0.0156425
Business,Paid employees for pay period including March 12,Finance and Insurance,41085,0.119690265,0.050126521
Business,Paid employees for pay period including March 12,Real Estate and Rental and Leasing,6650,0.019373014,0.008113457
Business,Paid employees for pay period including March 12,"Professional, Scientific, and Technical Services",37741,0.109948407,0.046046612
Business,Paid employees for pay period including March 12,Management of Companies and Enterprises,21050,0.061323599,0.025682445
Business,Paid employees for pay period including March 12,Administrative and Support and Waste Management and Remediation Services,24963,0.072723088,0.030456574
Business,Paid employees for pay period including March 12,Educational Services,3671,0.010694486,0.004478872
Business,Paid employees for pay period including March 12,Health Care and Social Assistance,41564,0.121085704,0.050710934
Business,Paid employees for pay period including March 12,"Arts, Entertainment, and Recreation",4639,0.013514498,0.005659899
Business,Paid employees for pay period including March 12,Accommodation and Food Services,38472,0.112077981,0.046938482
Business,Paid employees for pay period including March 12,Other Services (except Public Administration),14822,0.043179971,0.018083858
Business,Paid employees for pay period including March 12,Industries not classified,35,0.000101963,4.27024E-05
