Topic,Subject,Title,District.03.Value,Relevant.Proportion
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),Total households,292431,1
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),"Less than $10,000",9264,0.031679268
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),"$10,000 to $14,999",5197,0.017771714
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),"$15,000 to $24,999",16060,0.054918938
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),"$25,000 to $34,999",17503,0.059853436
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),"$35,000 to $49,999",31713,0.108446095
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),"$50,000 to $74,999",47111,0.161101251
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),"$75,000 to $99,999",39190,0.13401452
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),"$100,000 to $149,999",56534,0.193324237
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),"$150,000 to $199,000",33722,0.115316092
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),"$200,000 or more",36137,0.12357445
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),Median household income (dollars),86565,
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),Mean household income (dollars),111493,
