Topic,Subject,Title,District.03.Value,Relevant.Proportion,Proportion.TOT.Civilian
Workers,Industry,Civilian employed population 16 years and over,425586,1,0.519244143
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",3550,0.00834144,0.004331244
Workers,Industry,Construction,19663,0.046202178,0.02399021
Workers,Industry,Manufacturing,39199,0.092105943,0.047825472
Workers,Industry,Wholesale trade,12521,0.029420611,0.01527648
Workers,Industry,Retail trade,49859,0.11715376,0.060831404
Workers,Industry,"Transportation and warehousing, and utilities",12358,0.029037609,0.015077609
Workers,Industry,Information,15644,0.036758728,0.019086754
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",48465,0.113878276,0.059130628
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",71369,0.167695836,0.087075081
Workers,Industry,"Educational services, and health care and social assistance",85897,0.201832297,0.104800238
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",36792,0.086450212,0.044888766
Workers,Industry,"Other services, except public administration",20095,0.047217249,0.02451728
Workers,Industry,Public administration,10174,0.023905862,0.012412979
