"","occupation","prob_computerization","tot_employed","women","black","asian","hisp_latino"
"1","Chief Executives",0.015226,1649,"27.3","3.4","6.0","5.6"
"2","General and Operations Managers",0.15946,949,"29.8","7.1","5.6","11.3"
"3","Advertising and Promotions Managers",0.038603,67,"56.5","7.1","1.3","4.8"
"4","Public Relations and Fundraising Managers",0.014801,62,"70.9","10.3","5.4","3.3"
"5","Administrative Services Managers",0.72613,181,"42.6","13.2","3.4","10.0"
"6","Computer and Information Systems Managers",0.03508,597,"25.5","6.2","15.2","6.7"
"7","Financial Managers",0.069185,1197,"52.5","6.9","8.3","10.3"
"8","Industrial Production Managers",0.029556,275,"23.2","4.9","9.2","7.4"
"9","Purchasing Managers",0.029851,203,"47.4","9.1","2.9","10.6"
"10","Transportation Storage and Distribution Managers",0.5911,299,"17.1","11.4","4.8","18.4"
"11","Compensation and Benefits Managers",0.95565,20,"Ð","Ð","Ð","Ð"
"12","Human Resources Managers",0.0054863,287,"74.2","13.5","4.9","11.2"
"13","Training and Development Managers",0.0063291,58,"58.5","8.3","2.1","8.5"
"14","Farmers Ranchers and Other Agricultural Managers",0.047436,1042,"24.8","1.0","1.0","4.7"
"15","Construction Managers",0.070853,812,"7.4","3.8","2.0","11.0"
"16","Architectural and Engineering Managers",0.016897,136,"5.3","4.2","10.6","3.8"
"17","Food Service Managers",0.082891,1157,"45.9","10.2","12.0","17.7"
"18","Gaming Managers",0.091154,16,"Ð","Ð","Ð","Ð"
"19","Lodging Managers",0.0039207,166,"52.2","9.7","15.8","9.0"
"20","Medical and Health Services Managers",0.0073182,593,"72.3","13.2","5.4","10.2"
"21","Natural Sciences Managers",0.017548,14,"Ð","Ð","Ð","Ð"
"22","Postmasters and Mail Superintendents",0.74537,25,"Ð","Ð","Ð","Ð"
"23","Property Real Estate and Community Association Managers",0.81014,709,"46.5","9.0","3.6","11.3"
"24","Social and Community Service Managers",0.0067236,421,"70.5","15.4","4.8","11.0"
"25","Emergency Management Directors",0.0030124,10,"Ð","Ð","Ð","Ð"
"26","Managers All Other",0.25227,4420,"34.4","7.2","6.3","10.2"
"27","Agents and Business Managers of Artists Performers and Athletes",0.24285,38,"Ð","Ð","Ð","Ð"
"28","Buyers and Purchasing Agents Farm Products",0.86984,11,"Ð","Ð","Ð","Ð"
