BLS codes,Occupation Name,Category Label,Probability of Computerisation,Assisting and caring for others,Persuasion,Negotiation,Social perceptiveness,Fine arts,Originality,Manual dexterity,Finger dexterity,Cramped work space,Employment in Thousands,Income (Thousands USD),High school diploma or equivalent,Some college, no degree,Associate's degree,Bachelor's degree,Master's degree,Training set automatable labels
29-1125_,Recreational Therapists,4,0.0027508,77,52,48,57,35,54,30,36,27,0.0224,39.41,98.1,88.3,75.4,68.7,13.8,1.1,
49-1011_,First-Line Supervisors of Mechanics Installers and Repairers,10,0.0029784,58,50,54,54,0,54,37,46,27,0.4312,59.15,92,54,23.7,12.1,2.2,0.2,
11-9161_,Emergency Management Directors,1,0.0030124,65,55,50,57,0,57,23,27,28,0.0121,55.36,97.9,82.3,59.2,48.5,15.3,2.6,
21-1023_,Mental Health and Substance Abuse Social Workers,3,0.0030936,80,55,52,79,8,52,0,30,23,0.1261,38.6,98.8,92.7,82.5,76.6,34.4,1.8,
29-1181_,Audiologists,4,0.0032593,73,45,37,57,8,54,0,59,12,0.013,66.66,99.9,97.8,95.1,94.2,89.5,34.9,
29-1122_,Occupational Therapists,4,0.0034815,72.5,45.5,45,53,10,51,18.5,38.5,21.5,0.1088,72.32,99.8,99.4,98.6,90.6,35.2,3.4,
29-2091_,Orthotists and Prosthetists,4,0.003506,77,46,39,55,0,50,45,50,36,0.0063,65.06,97.3,75,42.8,28.5,10.1,5.2,
21-1022_,Healthcare Social Workers,3,0.0035435,82,54,48,75,0,54,0,32,18,0.1527,47.23,98.8,92.7,82.5,76.6,34.4,1.8,
29-1022_,Oral and Maxillofacial Surgeons,4,0.0035729,85,46,39,55,0,54,75,73,32,0.008,166.4,99.9,99.9,99.9,99.9,99.3,97.8,
33-1021_,First-Line Supervisors of Fire Fighting and Prevention Workers,5,0.0035813,71,50,45.5,53.5,0,51,44,42,53.5,0.0601,68.24,99.1,82,44.5,22.1,3.5,0.5,
29-1031_,Dietitians and Nutritionists,4,0.0038942,63,57,54,64,0,54,7,34,8,0.0644,53.25,95.7,81.5,73,67.8,30.4,5.4,
11-9081_,Lodging Managers,1,0.0039207,71,54,54,55,14,50,29,32,31,0.0514,46.88,94.9,74.3,49.7,40,9.4,1.4,
27-2032_,Choreographers,3,0.0039752,49,41,43,52,93,57,23,32,26,0.0132,37.66,85.7,59.8,32.4,25.1,3.6,0.4,
41-9031_,Sales Engineers,6,0.0041398,57,63,59,59,0,55,25,34,9,0.0664,87.39,99.1,94.1,79.1,70.6,15.9,1,
29-1060_,Physicians and Surgeons,4,0.0041564,83.3684,50.7895,44.1053,60.4211,2.7895,50.7895,28.3158,44.2105,17.4737,0.691,166.4,99.9,99.8,99.8,99.8,99.1,96.7,0
25-9031_,Instructional Coordinators,3,0.0042174,51,52,52,54,27,55,0,27,18,0.1397,58.83,99.5,95.1,85.4,80.3,53.7,8.8,
19-3039_,Psychologists All Other,2,0.0042763,76,52,43,75,9,55,21,30,5,0.0175,89.9,99.9,99.8,99.5,99.2,95,50.4,
33-1012_,First-Line Supervisors of Police and Detectives,5,0.0043771,67,61,48,57,0,50,39,39,33,0.1061,78.26,99.2,85.2,54.2,38.9,10.1,1.1,
29-1021_,Dentists General,4,0.0044013,65,50,43,52,17,59,0,68,41,0.1307,141.04,99.9,99.9,99.9,99.9,99.3,97.8,0
25-2021_,Elementary School Teachers Except Special Education,3,0.0044236,56,41,37,55,33,55,0,29,8,1.4765,51.66,99.8,99.6,96.7,94.7,47.8,2.9,
19-1042_,Medical Scientists Except Epidemiologists,2,0.0045381,50,48,41,48,0,55,23,37,17,0.1,76.7,99.8,99.6,99,98.6,92.8,63.9,
11-9032_,Education Administrators Elementary and Secondary School,1,0.0045842,58,57,54,59,38,57,0,27,5,0.2361,86.97,99.3,94.2,85.5,80.5,58.2,13,
29-1081_,Podiatrists,4,0.0046499,90,48,45,57,8,50,45,45,31,0.0129,118.03,99.9,99.9,99.8,99.8,97.8,96.4,
19-3031_,Clinical Counseling and School Psychologists,2,0.0047079,81.6667,55.3333,50,74,3,53,0,22.3333,5,0.1543,66.81,99.9,99.8,99.5,99.2,95,50.4,
21-1014_,Mental Health Counselors,3,0.0048414,79,61,54,77,0,57,0,32,13,0.1203,38.15,98.7,92.1,81.4,75.7,50.5,4.6,
51-6092_,Fabric and Apparel Patternmakers,11,0.0049209,49,36,36,37,0,57,41,48,12,0.006,38.97,91.9,67,51.5,33,6.3,0.3,
27-1027_,Set and Exhibit Designers,3,0.0054755,44,45,43,46,81,59,41,46,28,0.0117,46.68,97.3,84.6,65,51.1,8,1,
11-3121_,Human Resources Managers,1,0.0054863,56,59,57,59,0,55,0,34,2,0.0718,99.18,97.5,84.7,63.2,55.5,19.6,2.3,
39-9032_,Recreation Workers,5,0.0060539,62,41,41,52,23,50,0,29,27,0.3391,22.26,96.6,77,52.2,42.6,9.3,1.3,
11-3131_,Training and Development Managers,1,0.0063291,46,59,46,55,21,59,14,34,10,0.0298,89.17,97.5,84.7,63.2,55.5,19.6,2.3,
29-1127_,Speech-Language Pathologists,4,0.0063625,64,50,41,63,12,61,0,34,19,0.1232,66.92,99.8,99.4,99,98.4,89.8,2.6,
15-1121_,Computer Systems Analysts,2,0.006453,44,51,44.5,48,7,58,25,42,11,0.5444,77.74,99.5,93.3,76.1,65.5,21,2.5,
11-9151_,Social and Community Service Managers,1,0.0067236,79,55,54,68,17,59,0,32,15,0.1341,57.95,98.2,89.3,74.4,67.9,30.7,4.6,0
25-4012_,Curators,3,0.0067775,45,52,50,50,63,61,25,34,22,0.012,48.45,99,93.2,84.3,80.3,47.8,9,
29-9091_,Athletic Trainers,4,0.0071295,84,48,34,55,0,48,41,43,22,0.0182,41.6,98.7,87.2,70.9,63.3,23.7,2.5,
11-9111_,Medical and Health Services Managers,1,0.0073182,63,50,50,57,10,50,0,23,17,0.303,84.27,98.8,89.2,72.9,60.1,29.7,7,
25-2011_,Preschool Teachers Except Special Education,3,0.0073869,64,39,37,50,15,50,23,23,15,0.4568,25.7,97.9,82.7,59,45.3,12.5,0.8,0
25-9021_,Farm and Home Management Advisors,3,0.0074564,41,52,52,55,12,59,25,36,13,0.013,45.52,99.5,95.1,85.4,80.3,53.7,8.8,
19-3091_,Anthropologists and Archeologists,2,0.007651,37.5,44,40,50,27,57,19.5,33,29,0.0061,54.23,100,99.8,93.7,89.8,53.1,16.2,
25-2054_,Special Education Teachers Secondary School,3,0.007746,54,43,39,57,24,52,0,30,11,0.1387,54.81,99.5,95.6,89.9,86.2,48.2,2.3,
25-2031_,Secondary School Teachers Except Special and Career/Technical Education,3,0.0078131,50,43,43,54,40,54,0,30,4,1.0376,53.23,99.8,99.6,97.2,95.8,50.4,3.4,
21-2011_,Clergy,3,0.0080615,80,68,63,73,21,50,20,38,1,0.2308,43.97,97.5,90.7,79.4,75.3,51.6,16.3,0
19-1032_,Foresters,2,0.008104,41,50,57,50,0,59,34,29,9,0.0115,54.54,99.8,99.7,92.9,84.8,21.3,3.8,
21-1012_,Educational Guidance School and Vocational Counselors,3,0.0084601,72,52,48,68,17,50,18,34,3,0.2814,53.38,98.7,92.1,81.4,75.7,50.5,4.6,
25-2032_,Career/Technical Education Teachers Secondary School,3,0.0087841,60,54,50,54,17,50,37,41,17,0.0886,54.31,99.8,99.6,97.2,95.8,50.4,3.4,
29-1111_,Registered Nurses,4,0.0089712,90,48.875,45.75,60.25,4.625,46.625,41.125,48.125,40.75,2.7374,64.69,99.9,98.9,93.4,56,13.5,3.4,0
21-1015_,Rehabilitation Counselors,3,0.0094261,61,54,48,70,0,50,0,34,13,0.1298,32.35,98.7,92.1,81.4,75.7,50.5,4.6,
25-3999_,Teachers and Instructors All Other,3,0.0094769,68,50,43,61,25,48,41,41,28,0.8805,29.82,97.9,85.7,66.5,58.4,23.4,3.5,
19-4092_,Forensic Science Technicians,2,0.0095374,39,48,37,52,0,54,37,48,34,0.013,51.57,97.4,79.4,55.5,43.5,14.2,4.2,
39-5091_,Makeup Artists Theatrical and Performance,5,0.0099985,45,37,36,39,61,52,52,48,53,0.0035,38.13,79.7,41.7,18.1,10.6,1.6,0.6,
17-2121_,Marine Engineers and Naval Architects,2,0.010282,33,51,44.5,44,0,58,15,38.5,36.5,0.0059,79.92,100,91.5,80.4,71.8,17.7,1.6,
11-9033_,Education Administrators Postsecondary,1,0.01037,44,54,54,55,0,55,0,27,2,0.1462,83.71,99.3,94.2,85.5,80.5,58.2,13,
17-2141_,Mechanical Engineers,2,0.010554,36,50,43,45,0,61,0,37,15,0.2432,78.16,99.9,94.9,84.7,73.6,22.1,2.7,
29-1051_,Pharmacists,4,0.011528,73,46,43,55,15,48,37,41,13,0.2749,111.57,99.9,99.8,98.7,97.9,52.1,45.2,
13-1081_,Logisticians,1,0.011679,36,48,44,47.6667,0,55.6667,7.6667,36.3333,15,0.1089,70.8,98.3,82.7,55.9,43.4,10.6,0.7,
19-1022_,Microbiologists,2,0.011814,43,39,36,48,0,64,45,57,14,0.0203,65.92,99.9,99.9,97.2,94.4,50,21.2,
19-3032_,Industrial-Organizational Psychologists,2,0.012247,38,55,48,59,0,57,0,25,2,0.0022,87.33,99.9,99.8,99.5,99.2,95,50.4,
27-2022_,Coaches and Scouts,3,0.01327,38,57,57,59,10,55,34,29,8,0.2429,28.34,98.1,87.5,67.5,60.5,17.7,1.7,
11-2022_,Sales Managers,1,0.013417,33,61,55,61,0,59,23,30,8,0.3421,98.53,99,90.1,72.7,66.1,18.1,1.4,
19-2043_,Hydrologists,2,0.01354,31,50,41,48,0,57,16,30,22,0.0076,75.69,99.8,99.6,96,93.7,45.6,10,
11-2021_,Marketing Managers,1,0.013876,35,61,57,59,22,57,0,25,5,0.1782,112.8,99,90.1,72.7,66.1,18.1,1.4,
21-1013_,Marriage and Family Therapists,3,0.013955,87,57,55,84,0,48,0,30,1,0.036,45.72,98.7,92.1,81.4,75.7,50.5,4.6,0
17-2199_,Engineers All Other,2,0.01407,30.25,46.75,40.75,47,0,57,19.75,40.375,24.25,0.1565,90.27,99.9,96.6,88.3,80.6,31.8,6.3,
13-1151_,Training and Development Specialists,1,0.014465,40,45,45,54,12,54,0,27,7,0.2177,54.16,98.5,85.4,62.2,53,15.1,1.9,
43-1011_,First-Line Supervisors of Office and Administrative Support Workers,7,0.014467,47,52,52,55,0,52,0,36,8,1.4244,47.46,97,71.4,40.5,29.2,6.4,1,
19-1029_,Biological Scientists All Other,2,0.014703,31.6667,41.6667,40,49.3333,0,59,18,45,8,0.0358,68.22,99.9,99.9,97.2,94.4,50,21.2,
11-2031_,Public Relations and Fundraising Managers,1,0.014801,41,63,57,59,14,54,0,37,4,0.0619,91.81,99.4,92.3,78.4,72.8,23.6,2.4,
27-1014_,Multimedia Artists and Animators,3,0.014855,37,43,43,41,79,54,34,39,15,0.0665,58.51,97,85.6,66,56.4,14,1.5,
15-1111_,Computer and Information Research Scientists,2,0.015059,32,54,41,46,0,57,21,45,11,0.0282,100.66,99.5,93.3,76.1,65.5,21,2.5,
11-1011_,Chief Executives,1,0.015226,35,71,64,63,0,64,0,30,12,0.3699,165.08,98.2,86.6,69.4,63.8,25.1,6.3,0
11-9031_,Education Administrators Preschool and Childcare Center/Program,1,0.015394,59,46,50,52,12,50,0,30,4,0.0636,42.96,99.3,94.2,85.5,80.5,58.2,13,0
27-2041_,Music Directors and Composers,3,0.015407,35,25,23,45.5,84.5,56,24,35,5.5,0.0932,45.97,95.4,80.3,58.2,53,22.3,3.9,
51-1011_,First-Line Supervisors of Production and Operating Workers,11,0.015511,54,45,45,54,0,50,41,43,13,0.5885,53.09,88.7,48.4,23,15.1,3.2,0.5,
41-3031_,Securities Commodities and Financial Services Sales Agents,6,0.015762,48.5,61,50,52.5,0,51,18,34,13,0.3122,70.19,99,90.4,73.1,66.8,17.1,2.3,
19-1031_,Conservation Scientists,2,0.015967,40.3333,46.3333,43.6667,48.6667,11,52.3333,29.3333,33,20,0.0234,59.31,99.8,99.7,92.9,84.8,21.3,3.8,
25-2053_,Special Education Teachers Middle School,3,0.016477,58,48,46,54,19,50,0,30,4,0.0981,53.44,99.5,95.6,89.9,86.2,48.2,2.3,
17-2041_,Chemical Engineers,2,0.016861,31,48,39,45,0,64,0,36,18,0.0302,90.3,99.9,97.2,92.9,89.2,30.5,7.1,
11-9041_,Architectural and Engineering Managers,1,0.016897,30,55,57,54,0,59,23,36,7,0.1768,119.26,99.4,95.5,88.3,83.1,36.9,4.8,
17-2011_,Aerospace Engineers,2,0.01708,36,46,45,48,0,54,0,37,13,0.081,97.48,99.8,97.2,89.9,83.2,33.8,5.4,
11-9121_,Natural Sciences Managers,1,0.017548,40,50,47,53,0,52.3333,0,34,17.3333,0.0493,116.02,99.5,98.1,94.2,91.8,61.1,33.3,
17-2081_,Environmental Engineers,2,0.017798,31.5,49,46.5,49,0,55,0,14.5,19.5,0.0514,78.74,99.9,96.4,92.3,88.3,39.1,4.7,
17-1011_,Architects Except Landscape and Naval,2,0.018015,29,55,55,52,53,63,23,41,13,0.1137,72.55,100,98.3,93.5,89.2,36.9,8.6,
31-2021_,Physical Therapist Assistants,5,0.018063,78,43,34,54,0,46,39,45,20,0.0674,49.69,97.9,85.3,69.5,20.3,3.7,1.1,
17-2051_,Civil Engineers,2,0.019266,27.5,50,45,46.5,0,58,0,31.5,12.5,0.2628,77.56,99.9,96.8,90.8,85.2,28.1,4.2,0
29-1199_,Health Diagnosing and Treating Practitioners All Other,4,0.020303,73,46.6667,23,59.3333,0,47,24.6667,52.3333,9.6667,0.0556,69.31,99.2,95.3,88.7,85.4,69.9,28.6,
19-1013_,Soil and Plant Scientists,2,0.020576,27,50,32,45,0,64,27,36,17,0.0163,57.34,99.9,99.8,88.4,80.9,38,16,
