occupation,tot_employed,women,black,asian,hisp_latino
"Total, 16 years and over","151,436",46.8,11.9,6.1,16.7
"Management, professional, and related occupations","59,438",51.5,9.1,8.1,9.3
"Management, business, and financial operations occupations","24,941",43.8,8.2,6.6,9.8
Management occupations,"17,418",39.1,7.5,6.1,9.9
Chief executives,"1,649",27.3,3.4,6.0,5.6
General and operations managers,949,29.8,7.1,5.6,11.3
Legislators,20,Ð,Ð,Ð,Ð
Advertising and promotions managers,67,56.5,7.1,1.3,4.8
Marketing and sales managers,"1,066",45.3,5.3,6.0,9.9
Public relations and fundraising managers,62,70.9,10.3,5.4,3.3
Administrative services managers,181,42.6,13.2,3.4,10.0
Computer and information systems managers,597,25.5,6.2,15.2,6.7
Financial managers,"1,197",52.5,6.9,8.3,10.3
Compensation and benefits managers,20,Ð,Ð,Ð,Ð
Human resources managers,287,74.2,13.5,4.9,11.2
Training and development managers,58,58.5,8.3,2.1,8.5
Industrial production managers,275,23.2,4.9,9.2,7.4
Purchasing managers,203,47.4,9.1,2.9,10.6
"Transportation, storage, and distribution managers",299,17.1,11.4,4.8,18.4
"Farmers, ranchers, and other agricultural managers","1,042",24.8,1.0,1.0,4.7
Construction managers,812,7.4,3.8,2.0,11.0
Education administrators,954,65.1,14.3,2.2,8.8
Architectural and engineering managers,136,5.3,4.2,10.6,3.8
Food service managers,"1,157",45.9,10.2,12.0,17.7
Funeral service managers,15,Ð,Ð,Ð,Ð
Gaming managers,16,Ð,Ð,Ð,Ð
Lodging managers,166,52.2,9.7,15.8,9.0
Medical and health services managers,593,72.3,13.2,5.4,10.2
Natural sciences managers,14,Ð,Ð,Ð,Ð
Postmasters and mail superintendents,25,Ð,Ð,Ð,Ð
"Property, real estate, and community association managers",709,46.5,9.0,3.6,11.3
Social and community service managers,421,70.5,15.4,4.8,11.0
Emergency management directors,10,Ð,Ð,Ð,Ð
"Managers, all other","4,420",34.4,7.2,6.3,10.2
Business and financial operations occupations,"7,523",54.7,9.7,7.8,9.8
"Agents and business managers of artists, performers, and athletes",38,Ð,Ð,Ð,Ð
"Buyers and purchasing agents, farm products",11,Ð,Ð,Ð,Ð
"Wholesale and retail buyers, except farm products",207,53.1,6.4,4.4,11.8
"Purchasing agents, except wholesale, retail, and farm products",272,48.0,9.9,6.2,11.6
"Claims adjusters, appraisers, examiners, and investigators",349,62.2,15.1,1.6,12.7
Compliance officers,270,57.1,12.4,7.9,10.0
Cost estimators,113,12.0,2.9,3.2,8.3
Human resources workers,693,74.6,12.8,5.2,11.3
"Compensation, benefits, and job analysis specialists",77,72.1,17.8,7.2,8.5
Training and development specialists,156,60.7,12.0,3.0,10.3
Logisticians,115,32.3,17.0,6.9,12.0
Management analysts,902,41.7,9.0,10.7,7.9
"Meeting, convention, and event planners",162,77.6,8.6,4.5,11.1
Fundraisers,86,66.5,4.3,1.9,4.8
Market research analysts and marketing specialists,302,55.0,5.0,8.8,8.3
"Business operations specialists, all other",290,60.9,13.7,4.7,13.5
Accountants and auditors,"1,777",61.3,8.5,10.9,9.0
Appraisers and assessors of real estate,73,35.6,5.5,2.2,9.5
Budget analysts,53,51.3,16.8,8.6,5.6
Credit analysts,27,Ð,Ð,Ð,Ð
Financial analysts,307,36.9,6.5,12.8,10.9
Personal financial advisors,513,31.6,6.0,7.7,7.1
Insurance underwriters,104,62.5,9.6,6.3,4.9
Financial examiners,14,Ð,Ð,Ð,Ð
Credit counselors and loan officers,367,57.7,11.5,5.6,10.9
"Tax examiners and collectors, and revenue agents",68,63.8,15.8,8.1,13.3
Tax preparers,108,63.2,8.5,5.3,14.9
"Financial specialists, all other",68,55.7,16.8,5.4,13.6
Professional and related occupations,"34,498",57.0,9.8,9.2,9.0
Computer and mathematical occupations,"4,601",25.5,7.9,21.3,6.8
Computer and information research scientists,20,Ð,Ð,Ð,Ð
Computer systems analysts,526,35.7,10.8,17.6,6.7
Information security analysts,89,21.8,9.2,7.7,8.9
Computer programmers,466,22.6,7.6,19.8,6.7
"Software developers, applications and systems software","1,483",20.0,4.1,35.7,4.8
Web developers,205,33.6,8.4,9.3,5.8
Computer support specialists,570,25.5,9.8,12.6,7.8
Database administrators,90,46.2,4.4,16.2,2.9
Network and computer systems administrators,218,17.1,9.6,10.8,9.4
Computer network architects,115,9.7,13.0,11.8,9.3
"Computer occupations, all other",596,23.4,11.0,12.7,10.6
Actuaries,14,Ð,Ð,Ð,Ð
Mathematicians,4,Ð,Ð,Ð,Ð
Operations research analysts,129,55.4,11.2,12.9,10.4
Statisticians,74,52.5,8.4,19.8,3.9
Miscellaneous mathematical science occupations,2,Ð,Ð,Ð,Ð
Architecture and engineering occupations,"3,106",14.2,5.6,11.6,8.8
"Architects, except naval",246,26.0,3.0,11.1,8.0
"Surveyors, cartographers, and photogrammetrists",34,Ð,Ð,Ð,Ð
Aerospace engineers,130,7.8,2.6,9.3,7.3
Agricultural engineers,2,Ð,Ð,Ð,Ð
Biomedical engineers,13,Ð,Ð,Ð,Ð
Chemical engineers,79,20.1,4.1,10.3,6.6
Civil engineers,425,10.8,3.6,7.7,10.4
Computer hardware engineers,69,24.7,5.3,29.2,12.0
Electrical and electronics engineers,293,10.8,7.5,15.1,9.3
Environmental engineers,33,Ð,Ð,Ð,Ð
"Industrial engineers, including health and safety",220,20.3,2.7,6.6,11.2
Marine engineers and naval architects,13,Ð,Ð,Ð,Ð
Materials engineers,31,Ð,Ð,Ð,Ð
Mechanical engineers,350,6.4,4.2,10.5,5.5
"Mining and geological engineers, including mining safety engineers",9,Ð,Ð,Ð,Ð
Nuclear engineers,7,Ð,Ð,Ð,Ð
Petroleum engineers,36,Ð,Ð,Ð,Ð
"Engineers, all other",539,12.2,7.2,18.2,6.1
Drafters,109,15.0,4.9,4.9,22.7
"Engineering technicians, except drafters",385,19.8,11.2,8.8,10.6
Surveying and mapping technicians,83,7.9,3.7,3.2,7.4
"Life, physical, and social science occupations","1,367",44.0,6.4,16.0,8.2
Agricultural and food scientists,35,Ð,Ð,Ð,Ð
Biological scientists,96,43.4,6.5,17.2,7.0
Conservation scientists and foresters,31,Ð,Ð,Ð,Ð
Medical scientists,154,46.9,3.7,37.3,4.6
"Life scientists, all other",3,Ð,Ð,Ð,Ð
Astronomers and physicists,19,Ð,Ð,Ð,Ð
Atmospheric and space scientists,6,Ð,Ð,Ð,Ð
Chemists and materials scientists,95,34.6,10.6,18.4,2.7
Environmental scientists and geoscientists,89,30.0,3.4,8.0,5.6
"Physical scientists, all other",261,45.0,4.9,26.9,9.7
Economists,26,Ð,Ð,Ð,Ð
Survey researchers,3,Ð,Ð,Ð,Ð
Psychologists,161,67.5,5.8,4.2,6.9
Sociologists,3,Ð,Ð,Ð,Ð
Urban and regional planners,38,Ð,Ð,Ð,Ð
Miscellaneous social scientists and related workers,39,Ð,Ð,Ð,Ð
Agricultural and food science technicians,35,Ð,Ð,Ð,Ð
Biological technicians,17,Ð,Ð,Ð,Ð
Chemical technicians,76,34.6,14.9,8.2,12.9
Geological and petroleum technicians,18,Ð,Ð,Ð,Ð
Nuclear technicians,5,Ð,Ð,Ð,Ð
Social science research assistants,2,Ð,Ð,Ð,Ð
"Miscellaneous life, physical, and social science technicians",155,51.0,8.0,13.0,11.6
Community and social service occupations,"2,612",65.5,18.6,3.4,12.1
Counselors,869,73.0,19.6,2.7,11.6
Social workers,781,81.5,22.7,3.0,13.8
Probation officers and correctional treatment specialists,102,57.4,21.0,1.3,14.3
Social and human service assistants,184,80.5,21.6,2.6,14.1
"Miscellaneous community and social service specialists, including health educators and community health workers",89,74.9,20.4,2.5,16.1
Clergy,436,17.6,11.8,5.9,9.1
"Directors, religious activities and education",78,55.0,3.1,4.2,9.9
"Religious workers, all other",73,64.4,7.4,7.9,8.0
Legal occupations,"1,808",51.8,6.3,4.1,8.4
Lawyers,"1,133",35.7,4.4,4.7,5.6
Judicial law clerks,15,Ð,Ð,Ð,Ð
"Judges, magistrates, and other judicial workers",59,34.2,11.0,1.2,3.5
Paralegals and legal assistants,433,86.7,10.2,3.5,16.2
Miscellaneous legal support workers,168,77.0,8.4,1.9,8.7
"Education, training, and library occupations","8,948",73.1,10.0,4.7,10.0
Postsecondary teachers,"1,420",48.3,7.0,12.3,6.9
Preschool and kindergarten teachers,692,97.5,12.5,3.4,13.3
Elementary and middle school teachers,"3,186",78.5,10.3,2.4,9.8
Secondary school teachers,"1,078",60.5,8.0,2.0,7.9
Special education teachers,353,85.2,8.6,2.2,6.5
Other teachers and instructors,868,65.3,10.3,7.2,10.6
"Archivists, curators, and museum technicians",43,Ð,Ð,Ð,Ð
Librarians,190,83.8,7.5,5.8,7.1
Library technicians,37,Ð,Ð,Ð,Ð
Teacher assistants,950,89.3,14.8,3.4,17.3
"Other education, training, and library workers",132,71.4,12.2,6.3,9.7
"Arts, design, entertainment, sports, and media occupations","3,097",48.5,6.6,5.5,10.6
Artists and related workers,232,56.6,3.6,3.6,9.9
Designers,878,54.8,5.1,8.4,10.6
Actors,47,Ð,Ð,Ð,Ð
Producers and directors,173,38.5,3.6,4.6,6.3
"Athletes, coaches, umpires, and related workers",312,34.2,8.4,2.2,11.7
Dancers and choreographers,17,Ð,Ð,Ð,Ð
"Musicians, singers, and related workers",192,40.4,14.6,3.7,9.3
"Entertainers and performers, sports and related workers, all other",49,Ð,Ð,Ð,Ð
Announcers,59,20.9,16.6,4.0,20.7
"News analysts, reporters and correspondents",73,48.8,3.6,9.6,10.5
Public relations specialists,121,58.9,8.2,1.7,7.3
Editors,167,52.4,1.9,6.6,6.0
Technical writers,61,55.7,7.8,4.1,7.8
Writers and authors,229,62.8,3.4,2.5,5.6
Miscellaneous media and communication workers,116,68.7,11.3,13.0,37.8
Broadcast and sound engineering technicians and radio operators,111,15.2,13.1,2.4,12.1
Photographers,205,47.7,5.7,5.7,8.4
"Television, video, and motion picture camera operators and editors",54,21.4,3.1,3.8,11.4
"Media and communication equipment workers, all other",1,Ð,Ð,Ð,Ð
Healthcare practitioners and technical occupations,"8,960",75.6,11.8,9.6,7.8
Chiropractors,51,27.4,1.7,4.6,9.8
Dentists,163,34.4,3.2,20.2,9.5
