occupation,soc_code
3D Animators,27-1014
4th Grade Math Teachers,25-2021
7th Grade Social Studies Teachers,25-2022
911 Operators,43-5031
Able Seamen,53-5011
"Abstractors, Title",23-2093
Account Collectors,43-3011
"Account Executives, Advertising",41-3011
Accountants,13-2011
Accountants and Auditors,13-2010
Accountants and Auditors,13-2011
"Accountants, Certified Public",13-2011
Accounting Clerks,43-3031
Accounting Professors,25-1011
Accounts Receivable Clerks,43-3031
Acid Dippers,51-9192
Acid Purification Equipment Operators,51-9011
Acoustical Ceiling Installers,47-2081
Acrobatic Riggers,49-9096
Activities Aides,39-9032
Activities Concierges,39-6012
Actors,27-2011
"Actors, Producers, and Directors",27-2010
Actresses,27-2011
Actuarial Assistants,43-9111
Actuarial Clerks,43-9111
Actuarial Mathematicians,15-2011
Actuarial Science Professors,25-1022
Actuaries,15-2010
Actuaries,15-2011
"Actuaries, Health ",15-2011
"Actuaries, Insurance ",15-2011
Acupuncturists,29-1199
Addiction Counselors,21-1011
Addiction Psychiatrists,29-1066
Adhesive Bonding Machine Operators,51-9191
Adhesive Bonding Machine Operators and Tenders,51-9191
Adhesive Bonding Machine Tenders,51-9191
"Adjudicators, Administrative Law",23-1021
"Adjusters, Claims",13-1031
"Adjusters, Fire Claims ",13-1031
"Adjusters, Health Insurance ",13-1031
"Adjusters, Timing Device",51-2093
"Administrative Assistants, Except Legal, Medical, and Executive",43-6014
"Administrative Assistants, Executive",43-6011
Administrative Clerks,43-9061
Administrative Law Adjudicators,23-1021
Administrative Law Hearing Officers,23-1021
Administrative Law Judges,23-1021
"Administrative Law Judges, Adjudicators, and Hearing Officers",23-1021
Administrative Services Managers,11-3010
Administrative Services Managers,11-3011
"Administrative Support Workers, All Other",43-9199
"Administrative Support Workers, First-Line Supervisors",43-1011
"Administrators, Childcare Center ",11-9031
"Administrators, Computer Systems",15-1142
"Administrators, Database",15-1141
"Administrators, Database Security ",15-1141
"Administrators, Education, All Other",11-9039
"Administrators, Historical Records ",25-4011
"Administrators, Hospital ",11-9111
"Administrators, Marketing ",11-2021
"Administrators, Medical Records",11-9111
"Administrators, Medical Records ",11-9111
"Administrators, Network",15-1142
"Administrators, Network Security ",15-1142
"Administrators, Ocean Program ",11-9121
"Administrators, Traffic Safety ",11-3071
"Administrators, University ",11-9033
"Administrators, Wage and Salary ",11-3111
"Administrators, Wide Area Network ",15-1142
Adobe Layers,47-2021
Adult Basic and Secondary Education and Literacy Teachers and Instructors ,25-3010
Adult Basic and Secondary Education and Literacy Teachers and Instructors ,25-3011
Adult Basic Education Instructors,25-3011
Adult Basic Education Teachers,25-3011
Adult Education Teachers,25-3011
Adult Literacy Instructors,25-3011
Adult Literacy Teachers,25-3011
Adult Secondary Education Instructors,25-3011
Adult Secondary Education Teachers,25-3011
Advanced Nursing Professors,25-1072
Advertising Account Executives,41-3011
Advertising and Promotions Managers,11-2010
Advertising and Promotions Managers,11-2011
Advertising Copy Writers,27-3043
Advertising Directors,11-2011
Advertising Editors,27-3041
Advertising Executives,11-2011
Advertising Managers,11-2011
Advertising Sales Agents,41-3010
Advertising Sales Agents,41-3011
"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",11-2000
"Advisers, Feed Management",25-9021
"Advisers, Home Lighting ",27-1025
"Advisers, Individual Pension ",13-2052
"Advisers, Personal Investment ",13-2052
"Advisors, Extension Service",25-9021
"Advisors, Farm Management",25-9021
"Advisors, Home Management",25-9021
"Advisors, Income Tax ",13-2082
"Advisors, Personal Financial",13-2052
"Advisors, Residential",39-9041
"Advisors, Student Development ",21-1012
"Advocates, Lay Health ",21-1094
Aerial Crop Dusters,53-2012
Aerial Photographers,27-4021
Aerobics Instructors,39-9031
Aeronautical Drafters,17-3013
Aeronautical Engineering Professors,25-1032
Aeronautical Engineers,17-2011
Aerospace Engineering and Operations Technicians,17-3021
Aerospace Engineering Technicians,17-3021
Aerospace Engineers,17-2010
Aerospace Engineers,17-2011
Aerospace Operations Technicians,17-3021
Aerospace Products Sales Engineers,41-9031
African History Professors,25-1125
"Agents and Business Managers of Artists, Performers, and Athletes",13-1010
"Agents and Business Managers of Artists, Performers, and Athletes",13-1011
Agents of Artists,13-1011
Agents of Athletes,13-1011
Agents of Performers,13-1011
"Agents, Airline Ticket ",43-4181
"Agents, Apartment Rental ",41-9022
"Agents, Car Rental ",41-2021
"Agents, Cargo",43-5011
"Agents, Collection ",43-3011
"Agents, County Agricultural",25-9021
"Agents, Freight",43-5011
"Agents, Gate ",43-4181
"Agents, Hotel Guest Service ",39-6012
"Agents, Internal Revenue Service ",13-2081
"Agents, Literary ",13-1011
"Agents, Mortgage Loan",13-2072
"Agents, Parole ",21-1092
"Agents, Pension ",41-3021
"Agents, Purchasing, Except Wholesale, Retail, and Farm Products",13-1023
"Agents, Ramp Service  ",43-5011
"Agents, Revenue",13-2081
"Agents, Right of Way ",41-9022
"Agents, Theatrical ",13-1011
"Agents, Travel",41-3041
Agricultural and Food Science Technicians,19-4010
Agricultural and Food Science Technicians,19-4011
Agricultural and Food Scientists,19-1010
Agricultural Economics Professors,25-1063
Agricultural Engineering Technicians,17-3029
Agricultural Engineers,17-2020
Agricultural Engineers,17-2021
Agricultural Equipment Operators,45-2091
Agricultural Extension Educators,25-9021
Agricultural Inspectors,45-2010
Agricultural Inspectors,45-2011
Agricultural Production Engineers,17-2021
Agricultural Research Directors,11-9121
Agricultural Research Engineers,17-2021
Agricultural Science Technicians,19-4011
"Agricultural Sciences Teachers, Postsecondary",25-1041
Agricultural Workers,45-2000
"Agricultural Workers, All Other",45-2099
"Agricultural Workers, Miscellaneous",45-2090
Agronomy Professors,25-1041
"Aides, Activities ",39-9032
"Aides, Case Work ",21-1093
"Aides, Certified Nurse ",31-1014
"Aides, City Planning ",19-4061
"Aides, Clinical Rehabilitation",31-2022
"Aides, Forester",45-4011
"Aides, Forestry ",19-4093
"Aides, Geriatric Personal Care ",39-9021
"Aides, Home Health",31-1011
"Aides, Home Hospice ",31-1011
"Aides, Individualized Education Plan (IEP)",25-9099
"Aides, Instructional ",25-9041
"Aides, Legal ",23-2011
"Aides, Meteorological ",19-4099
"Aides, Nursing",31-1014
"Aides, Occupational Rehabilitation ",31-2012
"Aides, Occupational Therapist ",31-2012
"Aides, Occupational Therapy",31-2012
"Aides, Ortho/Prosthetic ",31-9099
"Aides, Personal Care",39-9021
"Aides, Pharmacy",31-9095
"Aides, Physical Therapist",31-2022
"Aides, Physical Therapy ",31-2022
"Aides, Psychiatric",31-1013
"Aides, Psychiatric Nursing ",31-1013
"Aides, Special Education Classroom ",25-9041
Air Ambulance Pilots,53-2012
Air Analysis Engineering Technicians,17-3025
Air and Missile Defense (AMD) Crewmembers,55-3014
Air Bag Builders,51-2099
Air Battle Managers,55-1011
Air Cargo Ground Crew Supervisors,53-1011
Air Cargo Ground Operations Supervisors,53-1011
Air Conditioning Installers,49-9021
Air Conditioning Mechanics,49-9021
Air Crew Members,55-3011
"Air Crew Members, First-Line Supervisors",55-2011
Air Crew Officers,55-1011
Air Defense Artillery Officers,55-1014
"Air Defense Command, Control, Communications, Computers and Intelligence Tactical Operations Center Enhanced Operators/Maintainers",55-3015
Air Hammer Operators,47-2061
Air Tour Pilots,53-2012
Air Traffic Control Operators,53-2021
Air Traffic Controllers,53-2021
Air Traffic Controllers and Airfield Operations Specialists,53-2020
Air Transportation Workers,53-2000
Air Valve Mechanics,49-9012
Airborne and Air Delivery Specialists,55-3011
Airborne Mission Systems Superintendents,55-2011
Aircraft Cargo Handling Supervisors,53-1010
Aircraft Cargo Handling Supervisors,53-1011
Aircraft Cleaners,53-7061
Aircraft De-Icer Installers,51-2011
Aircraft Design Engineers,17-2011
Aircraft Electricians,49-2091
Aircraft Engine Specialists,49-3011
Aircraft Fuselage Framers,51-2011
Aircraft Inspectors,53-6051
Aircraft Instrument Mechanics,49-2091
Aircraft Launch and Recovery Equipment Maintenance Technicians,55-3012
Aircraft Launch and Recovery Officers,55-1012
Aircraft Launch and Recovery Specialists,55-3012
Aircraft Launch Officers,55-1012
Aircraft Launch Specialists,55-3012
Aircraft Mechanics,49-3011
Aircraft Mechanics and Service Technicians,49-3010
Aircraft Mechanics and Service Technicians,49-3011
Aircraft Painters,51-9122
Aircraft Photographic Equipment Repairers,49-9061
Aircraft Pilots and Flight Engineers,53-2010
Aircraft Recovery Officers,55-1012
Aircraft Recovery Specialists,55-3012
Aircraft Rigging Assemblers,51-2011
Aircraft Riveters,51-2011
Aircraft Seat Upholsterers,51-6093
Aircraft Service Technicians,49-3011
Aircraft Structure Assemblers,51-2011
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",51-2010
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",51-2011
Aircraft Surfaces Assemblers,51-2011
Aircraft Systems Assemblers,51-2011
Airdrop Systems Technicians,55-1011
Airfield Operations Specialists,53-2022
Airframe Mechanics,49-3011
Airline Captains,53-2011
Airline Copilots,53-2011
Airline Flight Attendants,53-2031
Airline Flight Engineers,53-2011
Airline Pilots,53-2011
Airline Pilots in Command,53-2011
"Airline Pilots, Copilots, and Flight Engineers",53-2011
"Airline Pilots, International",53-2011
"Airline Pilots, National",53-2011
"Airline Pilots, Regional",53-2011
Airline Ticket Agents,43-4181
Airplane Flight Attendants,53-2031
Airplane Refuelers,53-6099
Airport Baggage Screeners,33-9093 
Airport Ramp Supervisors,53-1011
Airport Security Screeners,33-9093 
Airset Casters,51-4071
Alcohol and Drug Counselors,21-1011
Algebraists,15-2021
All Terrain Vehicle Technicians,49-3052
Alterations Tailors,51-6052
Alternative Dispute Resolution Coordinators,23-1022
Altitude Chamber Technicians,17-3021
Aluminum Molding Machine Operators,51-4072
Aluminum Polishers,51-4033
Aluminum Pool Installers,47-4099
"Ambulance Attendants, Except Emergency Medical Technicians",53-3011
Ambulance Dispatchers,43-5031
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",53-3010
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",53-3011
"Ambulance Drivers, Except Emergency Medical Technicians",53-3011
American History Professors,25-1125
American Sign Language Interpreters,27-3091
American Sign Language Teachers,25-1124
Amusement and Recreation Attendants,39-3091
Amusement Attendants,39-3091
Amusement Machine Repairers,49-9091
Amusement Machine Servicers,49-9091
"Analysts, Applications ",15-1121
"Analysts, Broadcast News",27-3021
"Analysts, Budget",13-2031
"Analysts, Business Management",13-1111
"Analysts, Collection",13-2072
"Analysts, Computer Systems",15-1121
"Analysts, Corporate Financial ",13-2051
"Analysts, Corporate Securities Research ",13-2051
"Analysts, Cost ",13-2031
"Analysts, Credit",13-2041
"Analysts, Credit Assessment ",13-2041
"Analysts, Credit Risk ",13-2041
"Analysts, Cryptographic Vulnerability ",15-2021
"Analysts, Data Processing Systems ",15-1121
"Analysts, Economic Research ",19-3011
"Analysts, Financial",13-2051
"Analysts, Harmonic ",15-2099
"Analysts, Industrial ",13-1111
"Analysts, Information Security",15-1122
"Analysts, Information Systems ",15-1121
"Analysts, Institutional Commodity ",13-2051
"Analysts, Insurance ",13-2053
"Analysts, Job ",13-1141
"Analysts, Logistics ",13-1081
"Analysts, Management",13-1111
"Analysts, Market Research",13-1161  
"Analysts, Network Security ",15-1122
"Analysts, Operations",15-2031
"Analysts, Operations Research",15-2031
"Analysts, Procedure ",15-2031
"Analysts, Process ",15-2031
"Analysts, Program",13-1111
"Analysts, Seed ",19-4011
"Analysts, Statistical ",15-2041
"Anchors, News ",27-3021
Anesthesiologist Assistants,29-1071
Anesthesiologists,29-1061
"Anesthesiologists, Obstetrical ",29-1061
"Anesthetists, Certified Registered Nurse (CRNA)",29-1151
"Anesthetists, Nurse",29-1151
Anger Control Counselors,21-1019
Animal Breeders,45-2020
Animal Breeders,45-2021
Animal Care and Service Workers,39-2000
Animal Control Officers,33-9011
Animal Control Workers,33-9010
Animal Control Workers,33-9011
Animal Cruelty Investigation Supervisors,33-1099
Animal Husbandry Managers,11-9013
Animal Nutritionists,19-1011
Animal Scientists,19-1011
Animal Shelter Workers,39-2021
Animal Surgeons,29-1131
Animal Trainer Supervisors,39-1021
Animal Trainers,39-2010
Animal Trainers,39-2011
Animal Wardens,33-9011
"Animators, 3D",27-1014
"Animators, Multimedia",27-1014
Annealing Furnace Operators,51-4191
Announcers,27-3010
"Announcers, Other",27-3012
"Announcers, Public Address System",27-3012
"Announcers, Radio",27-3011
"Announcers, Television",27-3011
Anode Builders,51-2022
Anodizers,51-4193
Anthropologists,19-3091
Anthropologists and Archeologists,19-3091
"Anthropologists, Political ",19-3091
"Anthropology and Archeology Teachers, Postsecondary",25-1061
"Anthropology Teachers, Postsecondary",25-1061
Antique Clock Repairers,49-9064
Apartment Managers,11-9141
Apartment Rental Agents,41-9022
Apothecaries,29-1051
Apparel Embroidery Digitizers,51-6099
Apparel Patternmakers,51-6092
"Apparel Workers, All Other",51-6099
Appeals Examiners,23-1021
Applications Analysts,15-1121
Applications Programmers,15-1131
"Applications, Software Developers",15-1132
Applied Exercise Physiologists,29-1128
Appointment Clerks,43-4171
Appraisers and Assessors of Real Estate,13-2020
Appraisers and Assessors of Real Estate,13-2021
Appraisers of Real Estate,13-2021
"Appraisers, Automobile Damage ",13-1032
"Appraisers, Land ",13-2021
"Appraisers, Property ",13-2021
"Appraisers, Vehicle Damage ",13-1032
"Apprentices, Barber ",39-5011
"Apprentices, Butcher ",51-3021
"Apprentices, Shipfitter ",51-4192
Aquacultural Animals Farmworkers,45-2093
Aquaculture and Fisheries Professors,25-1041
Arbitrators,23-1022
"Arbitrators, Mediators, and Conciliators",23-1022
Arboreal Scientists,19-1013
Arc Welders,51-4121
Arcade Attendants,39-3091
Arcade Games Mechanics,49-9091
Arch Cushion Press Operators,51-6042
"Archaeologists, Research  ",19-3091
Archeologists,19-3091
"Archeology Teachers, Postsecondary",25-1061
"Architects, Building ",17-1011
"Architects, Computer Network",15-1143
